word,esdb_level,decision,existing_rarity,existing_definition,reason
aahed,70,deferred,4,simple past and past participle of aah,Not individually approved; not added to puzzles.
aahing,70,deferred,4,An aah sound.,Not individually approved; not added to puzzles.
aahs,70,deferred,4,plural of aah,Not individually approved; not added to puzzles.
aalii,70,deferred,,,Not individually approved; not added to puzzles.
aaliis,70,deferred,,,Not individually approved; not added to puzzles.
aargh,70,deferred,,,Not individually approved; not added to puzzles.
aarrgh,80,deferred,,,Not individually approved; not added to puzzles.
aarrghh,80,deferred,,,Not individually approved; not added to puzzles.
aas,80,deferred,,,Not individually approved; not added to puzzles.
aba,70,deferred,3,"An electric fish of species Gymnarchus niloticus (frankfish, freshwater rat-tail, African knifefish), found in swamps, lakes and rivers in Africa.",Not individually approved; not added to puzzles.
abaca,70,deferred,4,"Musa textilis, a species of banana tree native to the Philippines grown for its textile, rope- and papermaking fibre.",Not individually approved; not added to puzzles.
abacas,70,deferred,,,Not individually approved; not added to puzzles.
abaka,80,deferred,,,Not individually approved; not added to puzzles.
abakas,80,deferred,,,Not individually approved; not added to puzzles.
abamp,70,deferred,,,Not individually approved; not added to puzzles.
abamps,70,deferred,,,Not individually approved; not added to puzzles.
abas,70,deferred,4,A cutaneous disease; the scald-head. porrigo,Not individually approved; not added to puzzles.
abaser,80,deferred,4,"One who, or that which, abases.",Not individually approved; not added to puzzles.
abasers,80,deferred,,,Not individually approved; not added to puzzles.
abasia,80,deferred,4,An inability to walk due to a defect in muscular coordination.,Not individually approved; not added to puzzles.
abasias,80,deferred,,,Not individually approved; not added to puzzles.
abater,80,deferred,4,"One who, or that which, abates.",Not individually approved; not added to puzzles.
abaters,80,deferred,4,"plural of abater. Meaning: One who, or that which, abates.",Not individually approved; not added to puzzles.
abatis,70,deferred,4,"A means of defense formed by felled trees, or sometimes by bent trees, the ends of whose branches are sharpened and directed outwards, or against the enemy, and more recently fortified with barbed wire.",Not individually approved; not added to puzzles.
abator,80,deferred,4,"a person who, without right, enters into a freehold on the death of the last possessor, before the heir or devisee",Not individually approved; not added to puzzles.
abators,80,deferred,,,Not individually approved; not added to puzzles.
abattis,80,deferred,4,Alternative spelling of abatis.,Not individually approved; not added to puzzles.
abaxial,70,deferred,4,"Of a side that is facing away from the axis or central line, such as the underside of a leaf, or the back of an animal.",Not individually approved; not added to puzzles.
abaya,70,deferred,,,Not individually approved; not added to puzzles.
abayas,70,deferred,,,Not individually approved; not added to puzzles.
abb,70,deferred,3,A type of yarn for the warp.,Not individually approved; not added to puzzles.
abba,70,deferred,3,"Father; religious superior; in the Syriac, Coptic, and Ethiopic churches, a title given to the bishops, and by the bishops to the patriarch; a title given to Jewish scholars in the Talmudic period.",Not individually approved; not added to puzzles.
abbacy,70,deferred,4,"The dignity, estate, term, or jurisdiction of an abbot or abbess.",Not individually approved; not added to puzzles.
abbas,70,deferred,3,plural of abba,Not individually approved; not added to puzzles.
abbotcy,80,deferred,4,Abbacy; office of abbot (superior of a monastery).,Not individually approved; not added to puzzles.
abbs,70,deferred,,,Not individually approved; not added to puzzles.
abduce,70,deferred,4,"To draw a conclusion, especially in metanalysis; to deduce.",Not individually approved; not added to puzzles.
abduced,70,deferred,,,Not individually approved; not added to puzzles.
abduces,70,deferred,,,Not individually approved; not added to puzzles.
abele,70,deferred,4,The white poplar (Populus alba).,Not individually approved; not added to puzzles.
abeles,70,deferred,,,Not individually approved; not added to puzzles.
abelia,80,deferred,,,Not individually approved; not added to puzzles.
abelian,80,deferred,4,"Of an algebraic structure (usually a group or algebra), having a commutative defining operation.",Not individually approved; not added to puzzles.
abelias,80,deferred,,,Not individually approved; not added to puzzles.
abettal,80,deferred,4,abetment,Not individually approved; not added to puzzles.
abeyant,70,deferred,4,Being in a state of abeyance; suspended.,Not individually approved; not added to puzzles.
abfarad,70,deferred,,,Not individually approved; not added to puzzles.
abhenry,70,deferred,,,Not individually approved; not added to puzzles.
abider,70,deferred,4,One who dwells or stays; a resident.,Not individually approved; not added to puzzles.
abiders,70,deferred,4,plural of abider,Not individually approved; not added to puzzles.
abigail,70,deferred,3,A lady's maid.,Not individually approved; not added to puzzles.
abioses,70,deferred,,,Not individually approved; not added to puzzles.
abiosis,70,deferred,,,Not individually approved; not added to puzzles.
abiotic,70,approved,4,"Nonliving, inanimate, characterised by the absence of life; of inorganic matter.",Useful scientific adjective for nonliving things; retains existing tier 4.
ablator,80,deferred,4,"A material that ablates, vaporizes, wears away, burns off, erodes, or abrades.",Not individually approved; not added to puzzles.
ablaut,70,deferred,4,"The substitution of one root vowel for another, thus indicating a corresponding modification of use or meaning; vowel permutation, distinct from the phonetic influence of a succeeding vowel.",Not individually approved; not added to puzzles.
ablauts,70,deferred,,,Not individually approved; not added to puzzles.
abled,80,deferred,,,Not individually approved; not added to puzzles.
ableism,70,deferred,,,Not individually approved; not added to puzzles.
ableist,70,deferred,,,Not individually approved; not added to puzzles.
abluent,80,deferred,4,Washing away; carrying off impurities; detergent.,Not individually approved; not added to puzzles.
abluted,80,deferred,,,Not individually approved; not added to puzzles.
abmho,70,deferred,,,Not individually approved; not added to puzzles.
abmhos,70,deferred,,,Not individually approved; not added to puzzles.
abo,80,deferred,4,Australian Aboriginal.,Not individually approved; not added to puzzles.
abohm,70,deferred,,,Not individually approved; not added to puzzles.
abohms,70,deferred,,,Not individually approved; not added to puzzles.
aboil,80,deferred,,,Not individually approved; not added to puzzles.
abomasa,70,deferred,,,Not individually approved; not added to puzzles.
abomasi,80,deferred,,,Not individually approved; not added to puzzles.
aboral,70,deferred,4,"Situated opposite to, or away from, the mouth.",Not individually approved; not added to puzzles.
aborter,80,deferred,,,Not individually approved; not added to puzzles.
abortus,80,deferred,4,An abortion.,Not individually approved; not added to puzzles.
abos,80,deferred,,,Not individually approved; not added to puzzles.
abought,80,deferred,4,simple past and past participle of aby,Not individually approved; not added to puzzles.
aboulia,70,deferred,,,Not individually approved; not added to puzzles.
aboulic,80,deferred,,,Not individually approved; not added to puzzles.
aboves,80,deferred,,,Not individually approved; not added to puzzles.
abrader,70,deferred,,,Not individually approved; not added to puzzles.
abrash,80,deferred,,,Not individually approved; not added to puzzles.
abraxas,70,deferred,4,A transcription of Abrasax.,Not individually approved; not added to puzzles.
abreact,70,deferred,,,Not individually approved; not added to puzzles.
abri,70,deferred,,,Not individually approved; not added to puzzles.
abrin,80,deferred,,,Not individually approved; not added to puzzles.
abrins,80,deferred,,,Not individually approved; not added to puzzles.
abris,70,deferred,,,Not individually approved; not added to puzzles.
abroach,70,deferred,4,Tapped; broached.,Not individually approved; not added to puzzles.
abroads,80,deferred,,,Not individually approved; not added to puzzles.
abscind,70,deferred,4,To cut off.,Not individually approved; not added to puzzles.
abscise,70,deferred,,,Not individually approved; not added to puzzles.
absurds,80,deferred,,,Not individually approved; not added to puzzles.
abubble,80,deferred,,,Not individually approved; not added to puzzles.
abulia,70,deferred,,,Not individually approved; not added to puzzles.
abulias,70,deferred,,,Not individually approved; not added to puzzles.
abulic,70,deferred,,,Not individually approved; not added to puzzles.
abusage,80,deferred,4,Synonym of abuse.,Not individually approved; not added to puzzles.
abuttal,70,deferred,4,"The butting or boundary of land, particularly at the end; buttals.",Not individually approved; not added to puzzles.
abutter,70,deferred,4,"One who, or that which, abuts, specifically, the owner of a contiguous estate.",Not individually approved; not added to puzzles.
abvolt,70,deferred,,,Not individually approved; not added to puzzles.
